Player,Pos,Squad,Comp,Age,Min,Gls_90,Ast_90,SoT_90,ScoutScore,Role,GA_90,TklW_90,Int_90
Donyell Malen,FW,Roma,it Serie A,26.0,1467,0.8588957055214723,0.12269938650306748,1.901840490797546,0.6961390537237657,Forward,,,
Jonathan Burkardt,FW,Eintracht Frankfurt,de Bundesliga,25.0,1336,0.8783783783783783,0.06756756756756756,1.4189189189189189,0.6209570141066365,Forward,,,
Bamba Dieng,FW,Lorient,fr Ligue 1,25.0,1212,0.7407407407407407,0.07407407407407407,1.7777777777777777,0.6118175104315822,Forward,,,
Carlos Espí,FW,Levante,es La Liga,20.0,1343,0.7382550335570469,0.0,1.610738255033557,0.6102660509039237,Forward,,,
Ermedin Demirović,FW,Stuttgart,de Bundesliga,27.0,1497,0.7228915662650601,0.18072289156626503,1.325301204819277,0.596237118871254,Forward,,,
Esteban Lepaul,FW,Rennes,fr Ligue 1,25.0,2511,0.7168458781362007,0.17921146953405018,1.3261648745519714,0.5956596744842673,Forward,,,
Nikola Krstović,FW,Atalanta,it Serie A,25.0,1791,0.5025125628140704,0.2512562814070352,1.7085427135678393,0.5779640565036609,Forward,,,
Gianluca Scamacca,FW,Atalanta,it Serie A,26.0,1315,0.684931506849315,0.0684931506849315,1.5068493150684932,0.5690201666376385,Forward,,,
Raúl,FW,Osasuna,es La Liga,24.0,1041,0.603448275862069,0.08620689655172414,1.9827586206896552,0.5646571052896595,Forward,,,
Georges Mikautadze,FW,Villarreal,es La Liga,24.0,2109,0.5555555555555556,0.25641025641025644,1.3675213675213675,0.5405152823973877,Forward,,,
Sergi Altimira,MF,Real Betis,es La Liga,23.0,1186,,,,0.46805755577568137,Midfielder,0.2272727272727273,2.7272727272727275,1.5151515151515151
Lamine Camara,MF,Monaco,fr Ligue 1,21.0,1847,,,,0.44718453071507525,Midfielder,0.34146341463414637,1.6097560975609757,1.853658536585366
Mamadou Sangare,MF,Lens,fr Ligue 1,23.0,2323,,,,0.43017380536280386,Midfielder,0.2713178294573643,2.093023255813953,1.5503875968992247
Pape Demba Diop,MF,Toulouse,fr Ligue 1,21.0,1271,,,,0.4220721190848324,Midfielder,0.2127659574468085,1.4184397163120568,2.198581560283688
Tim Iroegbunam,MF,Everton,eng Premier League,22.0,1487,,,,0.4127452320641175,Midfielder,0.12121212121212122,2.6666666666666665,1.3333333333333333
Sean Longstaff,MF,Leeds United,eng Premier League,27.0,1011,,,,0.41252850422465637,Midfielder,0.35714285714285715,2.142857142857143,1.0714285714285714
Julian Ryerson,MF,Dortmund,de Bundesliga,27.0,2266,,,,0.4120663935430632,Midfielder,0.5952380952380952,0.8333333333333334,0.4761904761904762
Javi Rueda,MF,Celta Vigo,es La Liga,23.0,1404,,,,0.4111723415902983,Midfielder,0.5128205128205129,0.7692307692307693,1.2820512820512822
Niccolò Pisilli,MF,Roma,it Serie A,20.0,1295,,,,0.40969507519913867,Midfielder,0.41666666666666663,0.9027777777777778,1.6666666666666665
Maxence Caqueret,MF,Como,it Serie A,25.0,1485,,,,0.40761725046695496,Midfielder,0.48484848484848486,1.393939393939394,0.8484848484848485
Kassoum Ouattara,"MF,DF",Monaco,fr Ligue 1,20.0,967,,,,0.4324975057520412,Defender,,1.7757009345794394,1.7757009345794394
Nnamdi Collins,DF,Eintracht Frankfurt,de Bundesliga,21.0,1500,,,,0.4226961110458821,Defender,,2.2754491017964074,1.437125748502994
Lars Ritzka,"MF,DF",St Pauli,de Bundesliga,27.0,966,,,,0.42204375087740736,Defender,,2.429906542056075,1.2149532710280375
Malang Sarr,DF,Lens,fr Ligue 1,26.0,2925,,,,0.4059472943293377,Defender,,1.353846153846154,2.3384615384615386
Quilindschy Hartman,DF,Burnley,eng Premier League,23.0,1825,,,,0.39584382694396564,Defender,,1.5270935960591132,1.5763546798029555
Bryan Okoh,DF,Auxerre,fr Ligue 1,22.0,1005,,,,0.39578954535030386,Defender,,0.8035714285714286,2.3214285714285716
Gabriel Suazo,"DF,MF",Sevilla,es La Liga,27.0,2096,,,,0.39535882751564594,Defender,,2.6609442060085837,1.2446351931330473
Maximilian Mittelstädt,"DF,MF",Stuttgart,de Bundesliga,28.0,2186,,,,0.39122585707928875,Defender,,1.728395061728395,1.4403292181069958
Joakim Mæhle,"MF,DF",Wolfsburg,de Bundesliga,28.0,1222,,,,0.38944086113977755,Defender,,1.6176470588235294,1.4705882352941178
Oumar Solet,DF,Udinese,it Serie A,25.0,2959,,,,0.3834700121183225,Defender,,1.7325227963525838,1.4285714285714286
Endrick,"FW,MF",Lyon,fr Ligue 1,19.0,1215,0.37037037037037035,0.5185185185185185,,0.5848758653166801,AttMid_Wing,,,
Ansu Fati,"MF,FW",Monaco,fr Ligue 1,22.0,1093,0.9090909090909092,0.0,,0.49576634521039553,AttMid_Wing,,,
Karim Adeyemi,"MF,FW",Dortmund,de Bundesliga,23.0,1195,0.5263157894736842,0.3007518796992481,,0.4456920123131277,AttMid_Wing,,,
Said El Mala,"FW,MF",Köln,de Bundesliga,18.0,1956,0.599078341013825,0.18433179723502305,,0.43412802158778097,AttMid_Wing,,,
Pavel Šulc,"FW,MF",Lyon,fr Ligue 1,24.0,1566,0.632183908045977,0.1724137931034483,,0.41057657152002025,AttMid_Wing,,,
Pablo Pagis,"MF,FW",Lorient,fr Ligue 1,22.0,1756,0.5128205128205128,0.2564102564102564,,0.4086662126939416,AttMid_Wing,,,
Abde Ezzalzouli,"MF,FW",Real Betis,es La Liga,23.0,2247,0.4,0.32,,0.40809034147931306,AttMid_Wing,,,
Amine Gouiri,"FW,MF",Marseille,fr Ligue 1,25.0,1326,0.54421768707483,0.20408163265306123,,0.4058146874738194,AttMid_Wing,,,
Yan Diomandé,"FW,MF",RB Leipzig,de Bundesliga,18.0,2472,0.43636363636363634,0.2909090909090909,,0.3972000260879478,AttMid_Wing,,,
Williot Swedberg,"FW,MF",Celta Vigo,es La Liga,21.0,1270,0.3546099290780142,0.3546099290780142,,0.3949592191499129,AttMid_Wing,,,
