Player,Pos,Squad,Comp,Age,Min,Gls_90,Ast_90,SoT_90,ScoutScore,Role,GA_90,TklW_90,Int_90,MarketValue_EUR,Efficiency
Donyell Malen,FW,Roma,it Serie A,26.0,1467,0.8588957055214723,0.1226993865030674,1.901840490797546,0.6961390537237657,Forward,,,,18000000,0.3867439187354254
Jonathan Burkardt,FW,Eintracht Frankfurt,de Bundesliga,25.0,1336,0.8783783783783783,0.0675675675675675,1.4189189189189189,0.6209570141066365,Forward,,,,20000000,0.31047850705331825
Bamba Dieng,FW,Lorient,fr Ligue 1,25.0,1212,0.7407407407407407,0.074074074074074,1.7777777777777777,0.6118175104315822,Forward,,,,8000000,0.7647718880394777
Carlos Espí,FW,Levante,es La Liga,20.0,1343,0.7382550335570469,0.0,1.610738255033557,0.6102660509039237,Forward,,,,5000000,1.2205321018078474
Ermedin Demirović,FW,Stuttgart,de Bundesliga,27.0,1497,0.7228915662650601,0.180722891566265,1.325301204819277,0.596237118871254,Forward,,,,22000000,0.27101687221420634
Esteban Lepaul,FW,Rennes,fr Ligue 1,25.0,2511,0.7168458781362007,0.1792114695340501,1.3261648745519714,0.5956596744842673,Forward,,,,4000000,1.489149186210668
Nikola Krstović,FW,Atalanta,it Serie A,25.0,1791,0.5025125628140704,0.2512562814070352,1.7085427135678393,0.5779640565036609,Forward,,,,15000000,0.3853093710024406
Gianluca Scamacca,FW,Atalanta,it Serie A,26.0,1315,0.684931506849315,0.0684931506849315,1.5068493150684932,0.5690201666376385,Forward,,,,28000000,0.20322148808487092
Raúl,FW,Osasuna,es La Liga,24.0,1041,0.603448275862069,0.0862068965517241,1.9827586206896552,0.5646571052896595,Forward,,,,6000000,0.9410951754827659
Georges Mikautadze,FW,Villarreal,es La Liga,24.0,2109,0.5555555555555556,0.2564102564102564,1.3675213675213675,0.5405152823973877,Forward,,,,20000000,0.27025764119869383
Sergi Altimira,MF,Real Betis,es La Liga,23.0,1186,,,,0.4680575557756813,Midfielder,0.2272727272727273,2.7272727272727275,1.5151515151515151,12000000,0.3900479631464011
Lamine Camara,MF,Monaco,fr Ligue 1,21.0,1847,,,,0.4471845307150752,Midfielder,0.3414634146341463,1.6097560975609757,1.853658536585366,35000000,0.12776700877573577
Mamadou Sangare,MF,Lens,fr Ligue 1,23.0,2323,,,,0.4301738053628038,Midfielder,0.2713178294573643,2.093023255813953,1.550387596899225,10000000,0.4301738053628038
Pape Demba Diop,MF,Toulouse,fr Ligue 1,21.0,1271,,,,0.4220721190848324,Midfielder,0.2127659574468085,1.4184397163120568,2.198581560283688,8000000,0.5275901488560405
Tim Iroegbunam,MF,Everton,eng Premier League,22.0,1487,,,,0.4127452320641175,Midfielder,0.1212121212121212,2.6666666666666665,1.3333333333333333,18000000,0.2293029067022875
Sean Longstaff,MF,Leeds United,eng Premier League,27.0,1011,,,,0.4125285042246563,Midfielder,0.3571428571428571,2.142857142857143,1.0714285714285714,12000000,0.34377375352054695
Julian Ryerson,MF,Dortmund,de Bundesliga,27.0,2266,,,,0.4120663935430632,Midfielder,0.5952380952380952,0.8333333333333334,0.4761904761904762,10000000,0.4120663935430632
Javi Rueda,MF,Celta Vigo,es La Liga,23.0,1404,,,,0.4111723415902983,Midfielder,0.5128205128205129,0.7692307692307693,1.2820512820512822,5000000,0.8223446831805966
Niccolò Pisilli,MF,Roma,it Serie A,20.0,1295,,,,0.4096950751991386,Midfielder,0.4166666666666666,0.9027777777777778,1.6666666666666663,15000000,0.2731300501327591
Maxence Caqueret,MF,Como,it Serie A,25.0,1485,,,,0.4076172504669549,Midfielder,0.4848484848484848,1.393939393939394,0.8484848484848485,18000000,0.22645402803719716
Kassoum Ouattara,"MF,DF",Monaco,fr Ligue 1,20.0,967,,,,0.4324975057520412,Defender,,1.7757009345794394,1.7757009345794394,20000000,0.2162487528760206
Nnamdi Collins,DF,Eintracht Frankfurt,de Bundesliga,21.0,1500,,,,0.4226961110458821,Defender,,2.275449101796408,1.437125748502994,12000000,0.3522467592049018
Lars Ritzka,"MF,DF",St Pauli,de Bundesliga,27.0,966,,,,0.4220437508774073,Defender,,2.429906542056075,1.2149532710280375,5000000,0.8440875017548146
Malang Sarr,DF,Lens,fr Ligue 1,26.0,2925,,,,0.4059472943293377,Defender,,1.353846153846154,2.3384615384615386,6000000,0.6765788238822295
Quilindschy Hartman,DF,Burnley,eng Premier League,23.0,1825,,,,0.3958438269439656,Defender,,1.5270935960591132,1.5763546798029555,18000000,0.219913237191092
Bryan Okoh,DF,Auxerre,fr Ligue 1,22.0,1005,,,,0.3957895453503038,Defender,,0.8035714285714286,2.321428571428572,8000000,0.49473693168787974
Gabriel Suazo,"DF,MF",Sevilla,es La Liga,27.0,2096,,,,0.3953588275156459,Defender,,2.660944206008584,1.2446351931330473,6000000,0.6589313791927431
Maximilian Mittelstädt,"DF,MF",Stuttgart,de Bundesliga,28.0,2186,,,,0.3912258570792887,Defender,,1.728395061728395,1.4403292181069958,15000000,0.2608172380528591
Joakim Mæhle,"MF,DF",Wolfsburg,de Bundesliga,28.0,1222,,,,0.3894408611397775,Defender,,1.6176470588235294,1.4705882352941178,8000000,0.48680107642472187
Oumar Solet,DF,Udinese,it Serie A,25.0,2959,,,,0.3834700121183225,Defender,,1.7325227963525838,1.4285714285714286,10000000,0.3834700121183225
Endrick,"FW,MF",Lyon,fr Ligue 1,19.0,1215,0.3703703703703703,0.5185185185185185,,0.5848758653166801,AttMid_Wing,,,,45000000,0.1299724145148178
Ansu Fati,"MF,FW",Monaco,fr Ligue 1,22.0,1093,0.9090909090909092,0.0,,0.4957663452103955,AttMid_Wing,,,,20000000,0.24788317260519774
Karim Adeyemi,"MF,FW",Dortmund,de Bundesliga,23.0,1195,0.5263157894736842,0.3007518796992481,,0.4456920123131277,AttMid_Wing,,,,35000000,0.12734057494660792
Said El Mala,"FW,MF",Köln,de Bundesliga,18.0,1956,0.599078341013825,0.184331797235023,,0.4341280215877809,AttMid_Wing,,,,8000000,0.5426600269847262
Pavel Šulc,"FW,MF",Lyon,fr Ligue 1,24.0,1566,0.632183908045977,0.1724137931034483,,0.4105765715200202,AttMid_Wing,,,,10000000,0.4105765715200202
Pablo Pagis,"MF,FW",Lorient,fr Ligue 1,22.0,1756,0.5128205128205128,0.2564102564102564,,0.4086662126939416,AttMid_Wing,,,,4000000,1.021665531734854
Abde Ezzalzouli,"MF,FW",Real Betis,es La Liga,23.0,2247,0.4,0.32,,0.408090341479313,AttMid_Wing,,,,12000000,0.3400752845660942
Amine Gouiri,"FW,MF",Marseille,fr Ligue 1,25.0,1326,0.54421768707483,0.2040816326530612,,0.4058146874738194,AttMid_Wing,,,,15000000,0.27054312498254623
Yan Diomandé,"FW,MF",RB Leipzig,de Bundesliga,18.0,2472,0.4363636363636363,0.2909090909090909,,0.3972000260879478,AttMid_Wing,,,,8000000,0.49650003260993475
Williot Swedberg,"FW,MF",Celta Vigo,es La Liga,21.0,1270,0.3546099290780142,0.3546099290780142,,0.3949592191499129,AttMid_Wing,,,,10000000,0.3949592191499129
